,x,y,z
1343,1715.7317070450233,-6206.472323428769,2688.9322074408296
1344,1713.410776457551,-6204.158749411057,2695.742593699353
1345,1711.0878359623707,-6201.837897636795,2702.5498177308723
1346,1708.7628882843937,-6199.509770828448,2709.3538715502145
1347,1706.4359361508882,-6197.17437171701,2716.154747175916
1348,1704.1069822914756,-6194.831703042016,2722.952436630241
1349,1701.7760294381203,-6192.481767551511,2729.746931939202
1350,1699.443080325137,-6190.124568002085,2736.5382251325454
1351,1697.108137689178,-6187.7601071588315,2743.326308243784
1352,1694.771204269236,-6185.38838779537,2750.111173310189
1353,1692.4322828066404,-6183.009412693839,2756.8928123728083
1354,1690.0913760450483,-6180.623184644877,2763.671217476479
1355,1687.7484867304513,-6178.2297064476425,2770.4463806698227
1356,1685.4036176111613,-6175.828980909786,2777.2182940052735
1357,1683.056771437815,-6173.421010847471,2783.9869495390726
1358,1680.7079509633706,-6171.005799085353,2790.7523393312795
1359,1678.3571589430978,-6168.583348456584,2797.514455445794
1360,1676.004398134582,-6166.153661802807,2804.273289950345
1361,1673.6496712977164,-6163.716741974153,2811.0288349165216
1362,1671.2929811947015,-6161.272591829239,2817.7810824197645
1363,1668.934330590042,-6158.821214235164,2824.5300245393814
1364,1666.5737222505381,-6156.3626120675,2831.2756533585657
1365,1664.2111589452918,-6153.8967882103025,2838.017960964387
1366,1661.8466434456936,-6151.423745556089,2844.756939447821
1367,1659.480178525428,-6148.943487005852,2851.4925809037413
1368,1657.111766960465,-6146.456015469047,2858.224877430935
1369,1654.7414115290555,-6143.961333863588,2864.953821132123
1370,1652.3691150117345,-6141.459445115849,2871.6794041139456
1371,1649.9948801913113,-6138.950352160656,2878.401618486998
1372,1647.61870985287,-6136.434057941291,2885.1204563658184
1373,1645.2406067837658,-6133.910565409478,2891.8359098689066
1374,1642.860573773619,-6131.379877525386,2898.5479711187395
1375,1640.4786136143164,-6128.841997257628,2905.256632241762
1376,1638.094729100003,-6126.296927583248,2911.9618853684196
1377,1635.7089230270822,-6123.74467148773,2918.663722633147
1378,1633.3211981942136,-6121.185231964984,2925.362136174385
1379,1630.9315574023033,-6118.618612017346,2932.0571181346004
1380,1628.540003454508,-6116.044814655579,2938.748660660273
1381,1626.1465391562276,-6113.463842898861,2945.4367559019283
1382,1623.7511673151032,-6110.875699774787,2952.1213960141285
1383,1621.3538907410139,-6108.2803883193665,2958.8025731554885
1384,1618.9547122460713,-6105.677911577015,2965.4802794886923
1385,1616.5536346446208,-6103.068272600557,2972.1545071804876
1386,1614.1506607532342,-6100.451474451212,2978.8252484017057
1387,1611.745793390707,-6097.827520198606,2985.4924953272703
1388,1609.3390353780567,-6095.196412920752,2992.156240136197
1389,1606.9303895385178,-6092.558155704058,2998.816475011621
1390,1604.5198586975403,-6089.912751643316,3005.4731921407847
1391,1602.1074456827862,-6087.260203841708,3012.126383715057
1392,1599.6931533241222,-6084.600515410788,3018.77604192995
1393,1597.2769844536238,-6081.933689470492,3025.422158985114
1394,1594.8589419055631,-6079.259729149124,3032.0647270843583
1395,1592.4390285164138,-6076.578637583361,3038.7037384356513
1396,1590.0172471248438,-6073.890417918245,3045.3391852511313
1397,1587.5936005717094,-6071.195073307176,3051.971059747126
1398,1585.1680917000583,-6068.492606911915,3058.599354144146
1399,1582.740723355119,-6065.783021902575,3065.224060666909
1400,1580.3114983843057,-6063.066321457623,3071.845171544334
1401,1577.880419637208,-6060.34250876387,3078.462679009558
1402,1575.4474899655895,-6057.61158701647,3085.076575299954
1403,1573.0127122233853,-6054.873559418915,3091.686852657122
1404,1570.5760892667013,-6052.128429183038,3098.2935033269073
1405,1568.1376239538038,-6049.376199528998,3104.896519559417
1406,1565.6973191451223,-6046.616873685284,3111.4958936090125
1407,1563.2551777032431,-6043.850454888707,3118.0916177343365
1408,1560.8112024929083,-6041.076946384402,3124.6836841983068
1409,1558.3653963810118,-6038.296351425821,3131.2720852681305
1410,1555.9177622365917,-6035.508673274723,3137.8568132153237
1411,1553.4683029308344,-6032.713915201183,3144.4378603156983
1412,1551.0170213370636,-6029.912080483574,3151.015218849398
1413,1548.5639203307442,-6027.103172408576,3157.5888811008817
1414,1546.1090027894738,-6024.2871942711645,3164.1588393589473
1415,1543.6522715929793,-6021.464149374606,3170.7250859167434
1416,1541.193729623119,-6018.634041030462,3177.287613071764
1417,1538.7333797638705,-6015.796872558574,3183.8464131258743
1418,1536.2712249013355,-6012.952647287069,3190.401478385306
1419,1533.8072679237328,-6010.10136855235,3196.95280116067
1420,1531.3415117213933,-6007.243039699096,3203.5003737669763
1421,1528.873959186761,-6004.377664080255,3210.044188523624
1422,1526.4046132143842,-6001.50524505704,3216.5842377544295
1423,1523.933476700917,-5998.625785998927,3223.120513787618
1424,1521.4605525451152,-5995.739290283654,3229.6530089558446
1425,1518.9858436478262,-5992.845761297205,3236.181715596202
1426,1516.5093529119986,-5989.945202433824,3242.70662605022
1427,1514.0310832426637,-5987.0376170959935,3249.227732663891
1428,1511.5510375469441,-5984.1230086944415,3255.7450277876633
1429,1509.0692187340467,-5981.201380648139,3262.2585037764516
1430,1506.5856297152534,-5978.2727363842805,3268.768152989664
1431,1504.100273403927,-5975.337079338301,3275.273967791185
1432,1501.6131527155012,-5972.394412953856,3281.7759405494053
1433,1499.1242705674806,-5969.444740682826,3288.274063637218
1434,1496.6336298794365,-5966.48806598531,3294.76832943203
1435,1494.141233573001,-5963.524392329618,3301.258730315781
1436,1491.6470845718673,-5960.553723192274,3307.745258674936
1437,1489.1511858017834,-5957.576062058005,3314.2279069005094
1438,1486.6535401905505,-5954.591412419742,3320.706667388063
1439,1484.1541506680205,-5951.599777778611,3327.181532537716
1440,1481.6530201660878,-5948.6011616439355,3333.6524947541684
1441,1479.150151618692,-5945.595567533227,3340.119546446684
1442,1476.6455479618091,-5942.582998972181,3346.5826800291265
1443,1474.1392121334513,-5939.563459494676,3353.0418879199487
1444,1471.6311470736646,-5936.536952642768,3359.4971625422063
1445,1469.1213557245196,-5933.503481966682,3365.9484963235786
1446,1466.6098410301167,-5930.463051024821,3372.3958816963564
1447,1464.0966059365733,-5927.415663383743,3378.839311097472
1448,1461.5816533920272,-5924.361322618169,3385.2787769684915
1449,1459.0649863466322,-5921.300032310982,3391.7142717556294
1450,1456.546607752549,-5918.231796053211,3398.1457879097675
1451,1454.0265205639514,-5915.156617444033,3404.573317886443
1452,1451.5047277370124,-5912.074500090773,3410.996854145881
1453,1448.9812322299094,-5908.985447608891,3417.4163891529815
1454,1446.4560370028164,-5905.8894636219875,3423.83191537734
1455,1443.9291450178987,-5902.786551761786,3430.243425293262
1456,1441.4005592393157,-5899.6767156681435,3436.650911379753
1457,1438.8702826332112,-5896.559958989038,3443.054366120549
1458,1436.3383181677134,-5893.436285380564,3449.453782004109
1459,1433.8046688129305,-5890.305698506932,3455.8491515236274
1460,1431.2693375409458,-5887.168202040458,3462.240467177054
1461,1428.7323273258182,-5884.023799661569,3468.627721467085
1462,1426.1936411435736,-5880.872495058788,3475.0109069011883
1463,1423.6532819722038,-5877.714291928738,3481.3900159915993
1464,1421.1112527916666,-5874.549193976133,3487.765041255334
1465,1418.5675565838735,-5871.377204913774,3494.1359752142066
1466,1416.0221963326965,-5868.1983284625485,3500.5028103948202
1467,1413.4751750239557,-5865.012568351418,3506.8655393285976
1468,1410.9264956454215,-5861.819928317424,3513.2241545517704
1469,1408.3761611868117,-5858.620412105677,3519.578648605393
1470,1405.8241746397796,-5855.414023469352,3525.929014035366
1471,1403.2705389979224,-5852.200766169687,3532.275243392419
1472,1400.7152572567672,-5848.980643975976,3538.617329232147
1473,1398.158332413775,-5845.753660665568,3544.9552641149944
1474,1395.5997674683347,-5842.519820023859,3551.2890406062784
1475,1393.0395654217562,-5839.279125844289,3557.6186512761983
1476,1390.4777292772715,-5836.031581928339,3563.9440886998336
1477,1387.9142620400294,-5832.77719208552,3570.2653454571673
1478,1385.349166717092,-5829.515960133383,3576.5824141330777
1479,1382.7824463174322,-5826.247889897493,3582.895287317359
1480,1380.214103851927,-5822.972985211448,3589.2039576047305
1481,1377.6441423333576,-5819.691249916857,3595.5084175948364
1482,1375.072564776404,-5816.402687863339,3601.8086598922655
1483,1372.4993741976418,-5813.10730290853,3608.1046771065508
1484,1369.9245736155394,-5809.80509891806,3614.3964618521786
1485,1367.3481660504551,-5806.496079765568,3620.6840067486023
1486,1364.7701545246282,-5803.180249332677,3626.9673044202523
1487,1362.190542062182,-5799.857611509005,3633.24634749654
1488,1359.6093316891179,-5796.528170192158,3639.5211286118642
1489,1357.026526433312,-5793.191929287718,3645.791640405626
1490,1354.4421293245116,-5789.848892709247,3652.057875522231
1491,1351.8561433943291,-5786.499064378276,3658.319826611105
1492,1349.2685716762417,-5783.142448224302,3664.5774863267034
1493,1346.6794172055875,-5779.779048184789,3670.8308473285065
1494,1344.0886830195611,-5776.408868205154,3677.079902281041
1495,1341.4963721572108,-5773.031912238772,3683.3246438538845
1496,1338.9024876594315,-5769.648184246962,3689.565064721679
1497,1336.307032568968,-5766.257688198988,3695.801157564125
1498,1333.7100099304043,-5762.860428072057,3702.032915066012
1499,1331.1114227901649,-5759.456407851304,3708.260329917205
1500,1328.51127419651,-5756.0456315298,3714.4833948126666
1501,1325.9095671995283,-5752.628103108536,3720.702102452466
1502,1323.3063048511415,-5749.203826596429,3726.9164455417754
1503,1320.701490205091,-5745.772806010309,3733.126416790896
