TIME[UTC],LAT[deg],LON[deg],ALT[km]
1 Jan 2020 20:34:00.000000000,-7.73897192518565,-68.1029172298323,600.384812072006
1 Jan 2020 20:34:01.000000000,-7.67717210230409,-68.115928247036,600.378726584097
1 Jan 2020 20:34:02.000000000,-7.61537188295306,-68.1289367268224,600.372688706193
1 Jan 2020 20:34:03.000000000,-7.55357127034784,-68.1419426905751,600.366698466981
1 Jan 2020 20:34:04.000000000,-7.49177026770316,-68.1549461596501,600.360755894932
1 Jan 2020 20:34:05.000000000,-7.42996887823314,-68.1679471553853,600.354861018284
1 Jan 2020 20:34:06.000000000,-7.36816710515133,-68.1809456990918,600.349013865045
1 Jan 2020 20:34:07.000000000,-7.30636495167071,-68.193941812059,600.343214463006
1 Jan 2020 20:34:08.000000000,-7.24456242100366,-68.2069355155521,600.337462839725
1 Jan 2020 20:34:09.000000000,-7.18275951636205,-68.2199268308182,600.331759022538
1 Jan 2020 20:34:10.000000000,-7.12095624095714,-68.2329157790766,600.326103038544
1 Jan 2020 20:34:11.000000000,-7.05915259799966,-68.2459023815284,600.320494914629
1 Jan 2020 20:34:12.000000000,-6.99734859069983,-68.2588866593532,600.314934677436
1 Jan 2020 20:34:13.000000000,-6.93554422226724,-68.2718686337047,600.309422353398
1 Jan 2020 20:34:14.000000000,-6.87373949591105,-68.2848483257205,600.303957968701
1 Jan 2020 20:34:15.000000000,-6.81193441483985,-68.2978257565132,600.298541549322
1 Jan 2020 20:34:16.000000000,-6.7501289822617,-68.3108009471754,600.293173120998
1 Jan 2020 20:34:17.000000000,-6.68832320138413,-68.3237739187778,600.287852709243
1 Jan 2020 20:34:18.000000000,-6.62651707541424,-68.3367446923743,600.282580339344
1 Jan 2020 20:34:19.000000000,-6.56471060755853,-68.3497132889932,600.277356036355
1 Jan 2020 20:34:20.000000000,-6.50290380102308,-68.3626797296477,600.272179825104
1 Jan 2020 20:34:21.000000000,-6.44109665901343,-68.375644035326,600.267051730196
1 Jan 2020 20:34:22.000000000,-6.37928918473464,-68.388606227,600.261971775997
1 Jan 2020 20:34:23.000000000,-6.31748138139133,-68.4015663256224,600.256939986655
1 Jan 2020 20:34:24.000000000,-6.2556732521876,-68.4145243521238,600.251956386079
1 Jan 2020 20:34:25.000000000,-6.19386480032708,-68.4274803274166,600.247020997964
1 Jan 2020 20:34:26.000000000,-6.13205602901301,-68.4404342723933,600.242133845749
1 Jan 2020 20:34:27.000000000,-6.07024694144808,-68.4533862079312,600.237294952678
1 Jan 2020 20:34:28.000000000,-6.00843754083458,-68.4663361548839,600.232504341745
1 Jan 2020 20:34:29.000000000,-5.94662783037433,-68.4792841340918,600.227762035712
1 Jan 2020 20:34:30.000000000,-5.88481781326874,-68.492230166372,600.223068057128
1 Jan 2020 20:34:31.000000000,-5.82300749271878,-68.5051742725284,600.218422428295
1 Jan 2020 20:34:32.000000000,-5.76119687192494,-68.5181164733437,600.213825171296
1 Jan 2020 20:34:33.000000000,-5.69938595408737,-68.5310567895826,600.20927630798
1 Jan 2020 20:34:34.000000000,-5.63757474240573,-68.5439952419964,600.204775859972
1 Jan 2020 20:34:35.000000000,-5.57576324007928,-68.5569318513141,600.200323848656
1 Jan 2020 20:34:36.000000000,-5.51395145030692,-68.569866638254,600.195920295197
1 Jan 2020 20:34:37.000000000,-5.45213937628708,-68.5827996235086,600.191565220525
1 Jan 2020 20:34:38.000000000,-5.39032702121785,-68.5957308277627,600.187258645334
1 Jan 2020 20:34:39.000000000,-5.32851438829689,-68.6086602716784,600.183000590102
1 Jan 2020 20:34:40.000000000,-5.26670148072149,-68.6215879759052,600.178791075061
